Test, Old, New
1,215750,170220
2,379315,481512
3,256881,195191
4,345188,254379
5,448678,342867
6,323427,385496
7,1243592,346279
8,340099,262177
9,237189,184127
10,5566778,364062
11,818267,130576
12,525516,125177
13,560551,245067
14,459515,226256
15,307371,269995
16,654737,469519
17,335643,440691
18,746374,374739
19,307427,284863
20,255492,259416
21,403989,316521
22,226238,339042
23,545893,359574
24,271439,188587
25,932883,310228
26,316558,275652
27,346165,369405
28,778376,633790
29,334597,322589
30,615469,890048
31,295166,264844
32,225596,214594
33,570709,250209
34,262550,240350
35,988425,494755
36,1609262,381215
37,447876,1067841
38,281127,481624
39,1136892,334412
40,667749,593701
41,1105044,389370
42,396544,241547
43,225044,162764
44,395494,1128746
45,545189,262144
46,1004038,556454
47,490313,960135
48,389701,420533
49,417250,2252093
50,674855,390849
51,612195,213374
52,376699,393967
53,660679,305946
54,294217,139494
55,456001,353509
56,388760,776940
57,222376,289064
58,697147,833866
59,291664,285046
60,767946,597674
61,342544,288557
62,307434,290395
63,582973,631869
64,397887,3759226
65,1264028,1227912
66,515942,256051
67,254884,905935
68,428728,1512733
69,294992,341553
70,297419,231115
71,585251,305731
72,310185,243893
73,429208,437489
74,621290,337978
75,405159,621777
76,954535,344007
77,3498353,825220
78,568645,317272
79,364894,710057
80,720349,299965
81,622684,463156
82,467088,340345
83,306418,280124
84,806621,246962
85,819232,192956
86,577013,582405
87,554321,458490
88,229822,171869
89,309732,188246
90,2743363,255904
91,680196,326680
92,580499,197448
93,694119,450424
94,262371,587732
95,494727,167873
96,330342,247267
97,2261194,948786
98,530829,597138
99,310762,249273
100,1102666,453737
